id_casa,nome_casa,via,gestore,lat,lon,quartiere,numero_civico,area_ortiva,area_statistica,sito_web,numero_civico_base,numero_civico_specificita,lunedi_mattina,lunedi_pomeriggio,martedi_mattina,martedi_pomeriggio,mercoledi_mattina,mercoledi_pomeriggio,giovedi_mattina,giovedi_pomeriggio,venerdi_mattina,venerdi_pomeriggio,sabato_mattina,sabato_pomeriggio,domenica_mattina,domenica_pomeriggio,edificio_storico
cdq_01,Graf,Piazza Spadolini,Graf San Donato APS,44.50411986097906,11.3670925194173,San Donato - San Vitale,3,False,VIA DEL LAVORO,https://www.comune.bologna.it/informazioni/casa-quartiere-graf,3,,11:00-13.00,,11:00-13:00,,11:00-13:00,,11:00-13:00,,11:00-13:00,,,,,,False
cdq_02,Santa Viola,Via Emilia Ponente,Centro Sociale Ricreativo Culturale Santa Viola APS,44.5072005,11.3053172,Borgo Panigale - Reno,131,False,AGUCCHI,https://www.comune.bologna.it/informazioni/casa-quartiere-santa-viola,131,,8:00-11:30,14:00-18.30,8:00-11:30,14:00-18.30,8:00-11:30,14:00-18.30,8:00-11:30,14:00-18.30,8:00-11:30,14:00-18.30,8:00-11:30,14:00-18.30,8:00-11:30,14:00-18.30,False
cdq_03,Area Ortiva Paleotto,Via del Paleotto,Associazione Area Ortiva Paleotto APS,44.4442178,11.3529744,Savena,11,True,MONTE DONATO,https://www.comune.bologna.it/informazioni/casa-quartiere-paleotto,11,,,,,,,17:00-21:00,,17:00-21:00,,17:00-21:00,,17:00-21:00,,,False
cdq_04,Casa del Gufo,Via Luigi Longo,Associazione Senza Il Banco,44.4686989,11.385095,Savena,10-12,True,CORELLI,https://www.comune.bologna.it/informazioni/casa-quartiere-casa-gufo,10-12,,9:00-13:00,13:00-23:00,9:00-13:00,13:00-23:00,9:00-13:00,13:00-23:00,9:00-13:00,13:00-23:00,9:00-13:00,13:00-23:00,9:00-13:00,13:00-23:00,9:00-13:00,13:00-23:00,False
cdq_05,Villa Bernaroli,Via Morazzo,Centro Sociale e Orti Villa Bernaroli APS,44.5028129,11.2559706,Borgo Panigale - Reno,1,True,RIGOSA,https://www.comune.bologna.it/informazioni/casa-quartiere-villa-bernaroli,1,,,14:00-18:00,,14:00-18:00,,14:00-18:00,,14:00-18:00,,14:00-18:00,,,,,True
cdq_06,Casa Gialla,Piazza Da Verrazzano,Associazione Centro Sociale Casa Gialla,44.5192565,11.3272229,Navile,1/3,True,BEVERARA,https://www.comune.bologna.it/informazioni/casa-quartiere-casa-gialla,1,3,,14:30-18:30,,14:30-18:30,,14:30-18:30,,14:30-18:30,,14:30-18:30,,14:30-18:30,,14:30-18:30,False
cdq_07,Due Agosto 1980,Via Filippo Turati,Centro sociale 2 Agosto 80 APS,44.4904754,11.3212905,Porto - Saragozza,98,True,SAN GIUSEPPE,https://www.comune.bologna.it/informazioni/casa-quartiere-due-agosto-1980,98,,,14:00-18:30,,14:00-18:30,,14:00-18:30,,14:00-18:30,,14:00-18:30,,14:00-18:30,,14:00-18:30,False
cdq_08,Stella,Via Savioli,nan,44.4870293,11.3640299,Santo Stefano,3,False,MEZZOFANTI,https://www.comune.bologna.it/informazioni/casa-quartiere-stella,3,,,15:00-18:00,,15:00-18:00,,15:00-18:00,,15:00-18:00,,15:00-18:00,,15:00-18:00,,,False
cdq_09,Il Parco,Via Edgar Allan Poe,Centro Sociale Il Parco APS,44.5111729,11.2854848,Borgo Panigale - Reno,4,False,TRIUMVIRATO-PIETRA,https://www.comune.bologna.it/informazioni/casa-quartiere-parco,4,,9:30-12:00,14:00-18:30,9:30-12:00,14:00-18:30,9:30-12:00,14:00-18:30,9:30-12:00,14:00-18:30,9:30-12:00,14:00-18:30,9:30-12:00,14:00-18:30,9:30-12:00,14:00-18:30,False
cdq_10,Pescarola,Via F. Zanardi,"Centro Sociale, Ricreativo, Culturale,
Autogestito Anziani Pescarola",44.5245657,11.3170639,Navile,228,False,PESCAROLA,https://www.comune.bologna.it/informazioni/casa-quartiere-pescarola,228,,,14:30-18:30,,14:30-18:30,,14:30-18:30,,14:30-18:30,,14:30-18:30,,14:30-18:30,,,False
cdq_11,Nello Frassinetti,Via Isabella Andreini,"Centro Sociale Ricreativo Culturale
Frassinetti APS",44.5036295,11.3736824,San Donato - San Vitale,18,False,MICHELINO,https://www.comune.bologna.it/informazioni/casa-quartiere-nello-frassinetti,18,,,,8:00-12:00,14:00-18:00,8:00-12:00,14:00-18:00,8:00-12:00,14:00-18:00,8:00-12:00,14:00-18:00,8:00-12:00,14:00-18:00,8:00-12:00,14:00-18:00,False
cdq_12,Villa Torchi,Via Colombarola,Associazione Centro Sociale Villa Torchi,44.5443575,11.3586988,Navile,40,True,SAN SAVINO,https://www.comune.bologna.it/informazioni/casa-quartiere-villa-torchi,40,,8:00-12:00,15:00-19:30,8:00-12:00,15:00-19:30,8:00-12:00,15:00-19:30,8:00-12:00,15:00-19:30,8:00-12:00,15:00-19:30,8:00-12:00,15:00-19:30,8:00-12:00,15:00-19:30,False
